NAME,EXP,POS_HEI_WEI,GRADE,AGE,SKILL,HISCH,HOTOWN,STARCOLL,COLLDIST,NUMOFF,INSTA,TWIT,TIK,NILVAL
Walter Nolen,2022 - present,DL / 6-4 / 345,Sophomore,19,99.59+,Powell,"Powell, TN",Texas A&M,803 mi.,25,21K,11.1K,515,$85K
Travis Hunter,2023 - present,CB / 6-1 / 165,Sophomore,20,99.56+,Collins Hill,"Suwanee, GA",Jackson State,375 mi.,17,997K,56K,713K,$2.2M
Luther Burden,2022 - present,WR / 5-11.5 / 198,Sophomore,19,98.80+,East St. Louis,"Saint Louis, MO",Missouri,111 mi.,25,46K,13.2K,10.3K,$429K
Sonny Styles,2022 - present,ATH / 6-4 / 205,Sophomore,18,98.73+,Pickerington Central,"Pickerington, OH",Ohio State,20 mi.,24,25K,9.1K,nan,$114K
Domani Jackson,2022 - present,CB / 6-1 / 181,Sophomore,20,98.57+,Mater Dei,"Santa Ana, CA",USC,27 mi.,25,29K,6.1K,375,$88K
Mykel Williams,2022 - present,EDGE / 6-5 / 261,Sophomore,19,98.57,Hardaway,"Columbus, GA",Georgia,142 mi.,25,27K,8.8K,880,$470K
Shemar Stewart,2022 - present,DL / 6-5 / 270,Sophomore,19,98.56+,Monsignor Pace,"Opa Locka, FL",Texas A&M,1029 mi.,25,19K,9.7K,3.2K,$84K
Evan Stewart,2022 - present,WR / 6-0 / 170,Sophomore,20,98.43+,Liberty,"Frisco, TX",Texas A&M,178 mi.,25,253K,22K,2.1M,$1.6M
Harold Perkins,2022 - present,LB / 6-3 / 200,Sophomore,21,98.41,Cy Park,"Cypress, TX",LSU,270 mi.,25,39K,18K,1.6K,$567K
Malaki Starks,2022 - present,S / 6-1 / 200,Sophomore,19,98.38,Jefferson,"Jefferson, GA",Georgia,15 mi.,15,23K,2.4K,450,$512K
DJ Campbell,2022 - present,IOL / 6-3 / 325,Sophomore,19,98.26,Bowie,"Arlington, TX",Texas,167 mi.,25,13.9K,6.7K,nan,$177K
LT Overton,2022 - present,DL / 6-3 / 265,Sophomore,18,98.24+,Milton,"Alpharetta, GA",Texas A&M,742 mi.,25,17.4K,5.1K,526,$82K
Gabriel Brownlow-Dindy,2022 - present,DL / 6-3 / 279,Redshirt Freshman,19,98.15,Lakeland,"Lakeland, FL",Texas A&M,886 mi.,24,6.4K,6.2K,nan,$76K
C.J. Hicks,2022 - present,LB / 6-2.5 / 210,Sophomore,19,98.14,Archbishop Alter,"Dayton, OH",Ohio State,66 mi.,25,115K,14.2K,34K,$193K
Jeremiah Alexander,2022 - present,EDGE / 6-1 / 235,Redshirt Freshman,19,98.07,Thompson,"Alabaster, AL",Alabama,49 mi.,21,24K,4.1K,367,$132K
Will Johnson,2022 - present,CB / 6-3 / 190,Sophomore,20,97.83,Grosse Pointe South,"Grosse Pointe, MI",Michigan,48 mi.,25,42K,12.7K,1.9K,$292K
Jihaad Campbell,2022 - present,LB / 6-3.5 / 215,Sophomore,19,97.82,IMG Academy,"Bradenton, FL",Alabama,502 mi.,25,16.3K,4.7K,756,$125K
Cade Klubnik,2022 - present,QB / 6-2.5 / 180,Sophomore,19,97.56,Westlake,"Austin, TX",Clemson,921 mi.,25,91K,25K,nan,$157K
Dani Dennis-Sutton,2022 - present,EDGE / 6-5 / 261,Sophomore,19,97.56,McDonogh School,"Millsboro, DE",Penn State,206 mi.,25,8.2K,5.6K,3.1K,$75K
Marvin Jones Jr.,2022 - present,EDGE / 6-4 / 253,Sophomore,19,97.50,American Heritage,"Fort Lauderdale, FL",Georgia,578 mi.,25,18.5K,8.9K,4.7K,$97K
Zach Rice,2022 - present,OT / 6-5 / 290,Redshirt Freshman,18,97.49,Liberty Christian Academy,"Lynchburg, VA",North Carolina,96 mi.,25,11.8K,7.5K,5.8K,nan
Kelvin Banks,2022 - present,OT / 6-5 / 313,Sophomore,19,97.49,Summer Creek,"Humble, TX",Texas,147 mi.,24,7K,12.7K,nan,$679K
Denver Harris,2023 - present,CB / 6-0 / 175,Sophomore,19,97.46,North Shore,"Houston, TX",Texas A&M,82 mi.,25,13.3K,9.6K,1.1K,$65K
Chris Marshall,nan,WR / 6-3 / 195,nan,nan,nan,nan,nan,Texas A&M,89 mi.,24,18.9K,5.3K,nan,nan
Ty Simpson,2022 - present,QB / 6-1 / 200,Redshirt Freshman,20,97.24,Westview,"Martin, TN",Alabama,234 mi.,25,27K,11.6K,246,$151K
Jaheim Singletary,2023 - present,CB / 6-2.5 / 170,Redshirt Freshman,20,97.23,Riverside High School,"Jacksonville, FL",Georgia,272 mi.,25,17.9K,7.6K,nan,$143K
Nick Singleton,2022 - present,RB / 6-0 / 224,Sophomore,19,97.17,Governor Mifflin,"Reading, PA",Penn State,106 mi.,25,43K,7.1K,nan,$900K
Drew Allar,2022 - present,QB / 6-5 / 242,Sophomore,19,97.15,Medina,"Medina, OH",Penn State,209 mi.,25,71K,15.8K,9.1K,$954K
Conner Weigman,2022 - present,QB / 6-2 / 208,Sophomore,20,97.08,Bridgeland,"Cypress, TX",Texas A&M,59 mi.,20,26K,13.9K,nan,$282K
Tyler Booker,2022 - present,IOL / 6-5 / 325,Sophomore,19,97.02,IMG Academy,"Bradenton, FL",Alabama,502 mi.,25,18.4K,6.8K,3.5K,$319K
Devin Brown,2022 - present,QB / 6-2.5 / 196,Sophomore,19,97.00,Corner Canyon,"Draper, UT",Ohio State,1513 mi.,17,18.5K,6.6K,nan,$121K
Jacoby Mathews,2022 - present,S / 6-1 / 204,Sophomore,19,96.97,Ponchatoula,"Ponchatoula, LA",Texas A&M,353 mi.,25,15.6K,5K,2.2K,$93K
Daylen Everette,2022 - present,CB / 6-1 / 190,Sophomore,19,96.92,IMG Academy,"Bradenton, FL",Georgia,459 mi.,25,13.1K,5.7K,16.1K,$92K
Elijah Pritchett,2022 - present,OT / 6-6 / 305.8,Redshirt Freshman,19,96.90,Carver,"Columbus, GA",Alabama,160 mi.,23,5K,1.6K,nan,$106K
Jaylen Sneed,2022 - present,LB / 6-2 / 215,Redshirt Freshman,19,96.88,Hilton Head,"Hilton Head Island, SC",Notre Dame,720 mi.,25,7.3K,4.7K,8.1K,nan
Aaron Anderson,2023 - present,WR / 5-8.5 / 185,Redshirt Freshman,20,96.82,Edna Karr,"New Orleans, LA",Alabama,264 mi.,12,13.9K,3.1K,13.8K,$91K
Derrick Moore,2022 - present,EDGE / 6-4 / 250,Sophomore,20,96.65,St. Frances Academy,"Baltimore, MD",Michigan,430 mi.,21,8K,5K,nan,$72K
Josh Conerly Jr.,2022 - present,OT / 6-5 / 283,Sophomore,19,96.63,Rainier Beach,"Seattle, WA",Oregon,247 mi.,25,5.7K,5.3K,nan,nan
Jeadyn Lukus,2022 - present,CB / 6-2.5 / 200,Sophomore,19,96.61,Mauldin,"Mauldin, SC",Clemson,29 mi.,25,7.4K,3.3K,nan,nan
Will Campbell,2022 - present,OT / 6-5.5 / 285,Sophomore,19,96.56,Neville,"Monroe, LA",LSU,154 mi.,25,23K,7.1K,1.2K,$85K
Tetairoa McMillan,2022 - present,WR / 6-5 / 185,Sophomore,20,96.45,Servite,"Anaheim, CA",Arizona,420 mi.,23,18.6K,4K,865,nan
Anthony Lucas,2023 - present,EDGE / 6-5 / 289,Sophomore,18,96.35,Chaparral,"Scottsdale, AZ",Texas A&M,933 mi.,25,8.1K,3.2K,5.2K,$69K
Bear Alexander,2023 - present,DL / 6-3 / 320,Sophomore,19,96.33,IMG Academy,"Denton, TX",Georgia,795 mi.,25,28K,14.3K,246,$61K
Emmanuel Henderson,2022 - present,WR / 6-1 / 195,Sophomore,19,96.33,Geneva County,"Hartford, AL",Alabama,180 mi.,17,33K,4.5K,7.4K,nan
Walker Howard,2023 - present,QB / 6-0.5 / 180,Redshirt Freshman,20,96.30,St. Thomas More,"Lafayette, LA",LSU,51 mi.,22,26K,13.1K,169,$102K
