NAME,EXP,POS_HEI_WEI,GRADE,AGE,SKILL,HISCH,HOTOWN,STARCOLL,COLLDIST,NUMOFF,INSTA,TWIT,TIK,NILVAL
Julian Lewis,nan,QB / 6-0.5 / 185,nan,nan,94.17,nan,nan,USC,1901 mi.,25,131K,24K,37K,$498K
Jahkeem Stewart,nan,DL / 6-6 / 280,nan,nan,93.84,nan,nan,Alabama,275 mi.,22,3.4K,1.7K,nan,$126K
Jackson Cantwell,nan,OT / 6-7.5 / 305,nan,nan,93.52,nan,nan,Oklahoma,253 mi.,21,546,1.8K,nan,$124K
Keenyi Pepe,nan,OT / 6-6 / 275,nan,nan,93.02,nan,nan,Miami,178 mi.,22,nan,982,nan,$120K
Blaine Bradford,nan,S / 6-1 / 195,nan,nan,93.01,nan,nan,LSU,0 mi.,14,-,1.1K,479,$126K
Lamar Brown,nan,IOL / 6-4 / 260,nan,nan,92.94,nan,nan,LSU,0 mi.,10,3.4K,606,nan,$109K
Savion Hiter,nan,RB / 5-11.5 / 190,nan,nan,92.90,nan,nan,Virginia,38 mi.,16,1.5K,1.2K,nan,$111K
Aaron Gregory,nan,WR / 6-2 / 170,nan,nan,92.89,nan,nan,Georgia,83 mi.,25,841,1.8K,nan,$111K
Kendre Harrison,nan,ATH / 6-7 / 230,nan,nan,92.71,nan,nan,NC State,68 mi.,16,2.7K,2.3K,nan,$113K
Anthony Jones,nan,LB / 6-4 / 205,nan,nan,92.62,nan,nan,Alabama,169 mi.,22,1.4K,1.1K,nan,$111K
Brandon Lockhart,nan,CB / 6-3 / 170,nan,nan,92.57,nan,nan,Oregon,744 mi.,8,-,934,nan,$88K
James Carrington,nan,DL / 6-3 / 270,nan,nan,92.57,nan,nan,Georgia,522 mi.,23,nan,1.3K,nan,$87K
Jared Curtis,nan,QB / 6-3 / 197,nan,nan,92.57,nan,nan,Alabama,214 mi.,25,852,1.5K,nan,$214K
Max Riley,nan,OT / 6-5 / 265,nan,nan,92.56,nan,nan,Ohio State,110 mi.,13,nan,945,nan,$87K
Tyler Atkinson,nan,LB / 6-3 / 205,nan,nan,92.55,nan,nan,Georgia,38 mi.,25,10.7K,5.3K,6K,$106K
Zech Fort,nan,S / 5-10 / 170,nan,nan,92.47,nan,nan,Alabama,502 mi.,25,12.8K,1.2K,-,$98K
Samari Matthews,nan,CB / 6-0 / 172,nan,nan,92.38,nan,nan,North Carolina,109 mi.,20,1.7K,1.4K,nan,$86K
JaReylan McCoy,nan,DL / 6-6.5 / 250,nan,nan,92.33,nan,nan,Ole Miss,42 mi.,14,453,1.1K,nan,$82K
Hezekiah Harris,nan,EDGE / 6-5 / 220,nan,nan,92.00,nan,nan,Auburn,81 mi.,5,1.1K,473,nan,$85K
Jabari Brady,nan,WR / 6-2 / 190,nan,nan,91.97,nan,nan,Ohio State,980 mi.,24,nan,1.1K,nan,$80K
CJ Sadler,nan,WR / 5-10 / 170,nan,nan,91.92,nan,nan,Michigan,41 mi.,16,nan,1.7K,nan,$72K
Tony Cumberland,nan,DL / 6-5 / 250,nan,nan,91.92,nan,nan,Oregon,943 mi.,11,937,495,nan,$74K
Davon Benjamin,nan,CB / 6-0 / 170,nan,nan,91.89,nan,nan,USC,41 mi.,7,5.8K,382,nan,$82K
Ekene Ogboko,nan,OT / 6-6 / 270,nan,nan,91.86,nan,nan,Georgia,287 mi.,13,731,251,nan,$73K
Messiah Mickens,nan,RB / 5-10 / 195,nan,nan,91.85,nan,nan,Penn State,64 mi.,20,2.5K,1.4K,7.2K,$96K
Brock Harris,nan,TE / 6-6 / 210,nan,nan,91.84,nan,nan,Oklahoma,919 mi.,19,840,921,nan,$69K
Justice Fitzpatrick,nan,S / 6-1 / 175,nan,nan,91.83,nan,nan,Florida Atlantic,17 mi.,23,516,770,nan,$68K
Bryce Perry-Wright,nan,DL / 6-3 / 240,nan,nan,91.82,nan,nan,South Carolina,172 mi.,24,nan,1.5K,nan,$62K
Kevin Ford,nan,EDGE / 6-4 / 213,nan,nan,91.81,nan,nan,SMU,11 mi.,8,-,299,nan,$63K
Zelus Hicks,nan,S / 6-2 / 170,nan,nan,91.78,nan,nan,Georgia,46 mi.,19,981,921,nan,$69K
Devin Carter,nan,WR / 6-0 / 165,nan,nan,91.77,nan,nan,Florida State,247 mi.,18,2.1K,1.6K,nan,$87K
London Smith,nan,ATH / 6-1 / 185,nan,nan,91.77,nan,nan,Texas,96 mi.,15,1.4K,913,nan,$66K
Camron Brooks,nan,EDGE / 6-4 / 220,nan,nan,91.76,nan,nan,Florida,126 mi.,17,11,719,nan,$65K
DeZephen Walker,nan,RB / 6-0 / 190,nan,nan,91.76,nan,nan,Kansas State,113 mi.,12,nan,818,nan,nan
