NAME,EXP,POS_HEI_WEI,GRADE,AGE,SKILL,HISCH,HOTOWN,STARCOLL,COLLDIST,NUMOFF,INSTA,TWIT,TIK,NILVAL
Efrem White,nan,ATH / 6-3 / 150,nan,nan,91.75,nan,nan,UCF,86 mi.,19,nan,590,nan,nan
Naeem Burroughs,nan,WR / 6-0 / 155,nan,nan,91.75,nan,nan,Florida,62 mi.,15,2.8K,1.4K,3K,$63K
Calvin Russell,nan,ATH / 6-4 / 176,nan,nan,91.75,nan,nan,Miami,11 mi.,19,4.8K,758,nan,$64K
Xavier McDonald,nan,WR / 6-3 / 160,nan,nan,91.75,nan,nan,Ole Miss,142 mi.,8,nan,602,nan,nan
Bralan Womack,nan,CB / 6-2 / 190,nan,nan,91.73,nan,nan,Ole Miss,149 mi.,5,nan,-,nan,nan
Pierre Dean,nan,OT / 6-4 / 305,nan,nan,91.73,nan,nan,South Carolina,145 mi.,11,349,151,nan,nan
Keenan Britt,nan,EDGE / 6-2 / 230,nan,nan,91.72,nan,nan,Auburn,75 mi.,4,1.6K,646,nan,nan
Aiden Hall,nan,S / 6-1 / 175,nan,nan,91.72,nan,nan,LSU,73 mi.,8,1.8K,645,nan,nan
Samu Moala,nan,EDGE / 6-3 / 230,nan,nan,91.71,nan,nan,USC,10 mi.,14,nan,899,nan,nan
Kevin Brown,nan,IOL / 6-4 / 240,nan,nan,91.70,nan,nan,Penn State,64 mi.,6,nan,309,nan,nan
Deshonne Redeaux,nan,RB / 5-10 / 160,nan,nan,91.70,nan,nan,USC,0 mi.,13,2.3K,63,nan,nan
Colton Yarbrough,nan,EDGE / 6-5 / 210,nan,nan,91.70,nan,nan,Vanderbilt,564 mi.,12,764,787,nan,nan
Keisean Henderson,nan,WR / 6-3 / 170,nan,nan,91.70,nan,nan,Baylor,163 mi.,13,1.9K,601,nan,nan
Dia Bell,nan,QB / 6-1 / 185,nan,nan,91.69,nan,nan,Florida,278 mi.,13,2.2K,1.4K,nan,$168K
Jireh Edwards,nan,S / 6-1 / 194,nan,nan,91.67,nan,nan,Maryland,17 mi.,22,1.7K,1.3K,586,nan
Carson Sneed,nan,TE / 6-6 / 215,nan,nan,91.67,nan,nan,Tennessee,160 mi.,16,352,602,254,nan
Jonathan Hatton,nan,RB / 5-11 / 174,nan,nan,91.66,nan,nan,Baylor,166 mi.,9,nan,815,nan,nan
Preston Carey,nan,DL / 6-5 / 290,nan,nan,91.65,nan,nan,Penn State,238 mi.,22,2K,2.2K,209,nan
O'Mari Johnson,nan,WR / 6-0 / 170,nan,nan,91.63,nan,nan,Ole Miss,189 mi.,9,1.4K,715,nan,nan
Elbert Hill,nan,CB / 5-10 / 161,nan,nan,91.61,nan,nan,Ohio State,102 mi.,14,3K,321,nan,nan
Thomas Wilder,nan,OT / 6-6 / 285,nan,nan,91.38,nan,nan,Duke,172 mi.,12,nan,424,nan,nan
Jonaz Walton,nan,RB / 5-9 / 190,nan,nan,91.19,nan,nan,Georgia Tech,38 mi.,8,nan,814,nan,nan
Dorian Barney,nan,CB / 6-1 / 163,nan,nan,91.16,nan,nan,South Carolina,177 mi.,12,1.7K,410,1.1K,nan
J'Zavien Currence,nan,S / 6-2 / 200,nan,nan,91.15,nan,nan,South Carolina,62 mi.,18,1.2K,739,nan,nan
Davion Brown,nan,WR / 6-3 / 185,nan,nan,91.12,nan,nan,Virginia Tech,166 mi.,13,nan,646,nan,nan
Tyler Merrill,nan,OT / 6-5 / 305,nan,nan,91.10,nan,nan,Penn State,59 mi.,14,nan,615,nan,nan
Sam Greer,nan,OT / 6-8 / 290,nan,nan,91.07,nan,nan,Ohio State,102 mi.,4,-,728,nan,nan
Dyzier Carter,nan,WR / 5-10 / 180,nan,nan,91.06,nan,nan,Maryland,90 mi.,11,1.6K,811,7.8K,nan
Jett Washington,nan,WR / 6-4 / 185,nan,nan,91.04,nan,nan,Utah,361 mi.,3,nan,344,nan,nan
Dequane Prevo,nan,WR / 5-11 / 164,nan,nan,91.03,nan,nan,Texas A&M,229 mi.,20,12.7K,1K,1.8K,nan
Leo Delaney,nan,OT / 6-5 / 275,nan,nan,91.02,nan,nan,Charlotte,0 mi.,3,nan,140,nan,nan
Ansu Sanoe,nan,ATH / 6-2 / 210,nan,nan,91.02,nan,nan,Washington State,274 mi.,8,-,905,nan,nan
Kodi Greene,nan,OT / 6-6 / 250,nan,nan,90.96,nan,nan,Washington,15 mi.,8,261,240,nan,nan
Andre Clarke,nan,CB / 6-0 / 160,nan,nan,90.94,nan,nan,Duke,134 mi.,15,2.4K,809,-,nan
Salesi Moa,nan,ATH / 6-0 / 175,nan,nan,90.89,nan,nan,Utah,32 mi.,3,nan,808,nan,nan
Faizon Brandon,nan,QB / 6-3.5 / 185,nan,nan,90.88,nan,nan,NC State,67 mi.,8,nan,773,nan,$140K
Jordan Clay,nan,WR / 6-3 / 190,nan,nan,90.86,nan,nan,Baylor,166 mi.,5,904,356,nan,nan
Bott Mulitalo,nan,DL / 6-4 / 242,nan,nan,90.86,nan,nan,Utah,26 mi.,3,nan,406,nan,nan
Rodney Colton,nan,LB / 6-1 / 205,nan,nan,90.84,nan,nan,Georgia,97 mi.,8,-,797,nan,nan
KJ Edwards,nan,RB / 5-10 / 165,nan,nan,90.82,nan,nan,Sam Houston State,116 mi.,7,-,832,nan,nan
Heze Kent,nan,ATH / 6-6 / 245,nan,nan,90.61,nan,nan,Florida State,172 mi.,14,138,1.2K,nan,nan
Shavar Young,nan,CB / 6-0 / 166,nan,nan,90.60,nan,nan,Tennessee,0 mi.,19,nan,967,nan,nan
Darius Gray,nan,IOL / 6-3 / 285,nan,nan,90.60,nan,nan,South Carolina,318 mi.,18,2.8K,1.7K,nan,nan
Xavier Griffin,nan,EDGE / 6-4 / 210,nan,nan,90.59,nan,nan,Florida State,270 mi.,5,1.7K,235,nan,nan
