NAME,EXP,POS_HEI_WEI,GRADE,AGE,SKILL,HISCH,HOTOWN,STARCOLL,COLLDIST,NUMOFF,INSTA,TWIT,TIK,NILVAL
Bryce Underwood,nan,QB / 6-3 / 210,nan,nan,98.79+,nan,nan,Michigan,20 mi.,25,31K,6.6K,nan,$436K
Elijah Griffin,nan,DL / 6-4 / 270,nan,nan,98.78+,nan,nan,South Carolina,132 mi.,25,933,2.2K,nan,$182K
Ryan Williams,nan,WR / 6-0 / 155,nan,nan,98.74+,nan,nan,Alabama,162 mi.,25,54K,4.7K,93K,$277K
Armondo Blount,nan,DL / 6-3.5 / 250,nan,nan,98.71+,nan,nan,Miami,5 mi.,25,2.1K,2.3K,nan,$219K
David Sanders,nan,OT / 6-5.5 / 250,nan,nan,98.50,nan,nan,Georgia,166 mi.,25,4.3K,3K,nan,$185K
Na'eem Offord,nan,CB / 6-1 / 180,nan,nan,97.45,nan,nan,Alabama,53 mi.,25,527,2.2K,5.3K,$161K
Devin Sanchez,nan,CB / 6-2 / 170,nan,nan,97.40,nan,nan,Alabama,514 mi.,24,17.7K,2.8K,nan,$180K
DJ Pickett,nan,S / 6-3 / 170,nan,nan,97.34,nan,nan,Florida,99 mi.,25,15.4K,5.1K,1.2K,$178K
Dakorien Moore,nan,WR / 5-11 / 175,nan,nan,97.17,nan,nan,LSU,371 mi.,20,14.1K,7.1K,17.8K,$214K
Zayden Walker,nan,EDGE / 6-1.5 / 225,nan,nan,96.93,nan,nan,Georgia,130 mi.,25,2.7K,2.1K,nan,$163K
Jaime Ffrench,nan,WR / 6-1 / 180,nan,nan,96.26,nan,nan,Alabama,401 mi.,25,3K,2.4K,nan,$157K
Caleb Cunningham,nan,WR / 6-3 / 185,nan,nan,96.25,nan,nan,Ole Miss,72 mi.,21,1.6K,3.2K,nan,$137K
George MacIntyre,nan,QB / 6-5.5 / 185,nan,nan,96.23,nan,nan,Alabama,214 mi.,25,4.4K,3.1K,nan,$322K
Justus Terry,nan,DL / 6-5 / 275,nan,nan,95.58,nan,nan,Georgia,106 mi.,5,13.5K,7.2K,9,$159K
Elyiss Williams,nan,TE / 6-7 / 235,nan,nan,95.35,nan,nan,Georgia,232 mi.,16,1.2K,1.7K,nan,$152K
Andrew Marsh,nan,WR / 6-0.5 / 175,nan,nan,95.05,nan,nan,Texas,116 mi.,25,12.7K,2.5K,695,$136K
Micah DeBose,nan,OT / 6-4 / 280,nan,nan,95.01,nan,nan,Georgia,354 mi.,24,1.8K,1.4K,nan,$136K
Michael Fasusi,nan,OT / 6-4 / 287,nan,nan,95.01,nan,nan,Oklahoma,152 mi.,25,960,1.8K,nan,$120K
Harlem Berry,nan,RB / 5-10.5 / 177,nan,nan,94.94,nan,nan,LSU,68 mi.,24,2.1K,1.5K,686,$125K
Jonah Williams,nan,LB / 6-3 / 200,nan,nan,94.92,nan,nan,Texas,190 mi.,22,2.3K,1.7K,12.5K,$126K
Ari Watford,nan,EDGE / 6-5 / 230,nan,nan,94.89,nan,nan,Virginia Tech,234 mi.,25,2.6K,2.2K,129,$113K
Solomon Thomas,nan,OT / 6-4 / 290,nan,nan,94.72,nan,nan,Florida State,155 mi.,20,1.3K,978,nan,$107K
Iose Epenesa,nan,EDGE / 6-4 / 245,nan,nan,94.69,nan,nan,Iowa,209 mi.,20,1.4K,nan,nan,$106K
Nasir Wyatt,nan,LB / 6-3 / 205,nan,nan,94.60,nan,nan,USC,27 mi.,20,4K,2K,nan,$114K
Jaboree Antoine,nan,CB / 6-1 / 170,nan,nan,94.55,nan,nan,LSU,53 mi.,14,1.4K,524,1.3K,$111K
Jordan Young,nan,ATH / 6-0 / 170,nan,nan,94.49,nan,nan,South Carolina,80 mi.,22,2.7K,895,12.3K,$101K
Nathaniel Owusu-Boateng,nan,LB / 6-2 / 210,nan,nan,94.47,nan,nan,Florida,688 mi.,25,1.1K,857,nan,$98K
Ousmane Kromah,nan,RB / 6-1 / 210,nan,nan,94.43,nan,nan,Florida State,92 mi.,25,1.5K,1.1K,nan,$99K
Josh Petty,nan,OT / 6-4 / 265,nan,nan,94.39,nan,nan,Tennessee,134 mi.,25,858,1.1K,nan,$95K
Jordon Davison,nan,RB / 5-11 / 210,nan,nan,94.37,nan,nan,Texas,1201 mi.,25,12.2K,4.2K,nan,$111K
Anquon Fegans,nan,S / 6-0 / 190,nan,nan,94.36,nan,nan,USC,1853 mi.,23,8.1K,3.8K,2.1K,$102K
Dijon Lee,nan,CB / 6-3 / 180,nan,nan,94.35,nan,nan,USC,42 mi.,15,2.4K,699,nan,$94K
Zion Grady,nan,EDGE / 6-4 / 210,nan,nan,94.33,nan,nan,Alabama,133 mi.,21,1.9K,1.5K,749,$94K
Dorian Brew,nan,WR / 6-3 / 175,nan,nan,94.32,nan,nan,Ohio State,72 mi.,21,3.4K,1.8K,4K,$96K
Dallas Wilson,nan,WR / 6-3 / 180,nan,nan,94.31,nan,nan,Oregon,2495 mi.,25,4.3K,1.5K,1.1K,$109K
