NAME,EXP,POS_HEI_WEI,GRADE,AGE,SKILL,HISCH,HOTOWN,STARCOLL,COLLDIST,NUMOFF,INSTA,TWIT,TIK,NILVAL
Terquavion Smith,nan,SG / 6-3 / 180,nan,20,92.81,Farmville Central,"Farmville, NC",NC State,60 mi.,3,25K,4.1K,2K,$129K
Ike Cornish,nan,SF / 6-6 / 185,nan,nan,92.76,Legacy Charter,"Baltimore, MD",Maryland,26 mi.,11,6.1K,1.3K,509,nan
Taine Murray,2021 - present,SG / 6-5 / 190,Junior,-,92.70,New Zealand,"Nashville, TN",Virginia,472 mi.,7,10.2K,1.2K,76,nan
Wesley Cardet,nan,SG / 6-6 / 175,nan,nan,92.70,West Oaks Academy,"Orlando, FL",Samford,471 mi.,18,2.7K,928,nan,nan
Fanbo Zeng,nan,PF / 6-9 / 190,nan,-,92.69,Windermere Prep,"Windermere, FL",NBA G League,2411 mi.,9,-,-,nan,nan
Nnanna Njoku,2021 - present,PF / 6-9 / 245,Junior,-,92.62,Sanford School,"Hockessin, DE",Villanova,25 mi.,11,7.5K,1.2K,nan,nan
Alex Karaban,2021 - present,SF / 6-7 / 190,Redshirt Sophomore,-,92.59,New Hampton School,"New Hampton, NH",nan,nan,nan,nan,nan,nan,nan
Luke Goode,2021 - present,SG / 6-7 / 200,Junior,-,92.42,Homestead,"Fort Wayne, IN",Illinois,175 mi.,14,14.8K,9.8K,157,nan
Bobby Pettiford,nan,PG / 6-1 / 190,nan,nan,92.26,South Granville Of Business And Global Commun,"Durham, NC",Kansas,917 mi.,13,20K,4.9K,3K,nan
Blake Wesley,nan,nan,nan,nan,92.26,Riley,"South Bend, IN",Notre Dame,0 mi.,18,-,-,-,nan
RJ Melendez,2023 - present,CG / 6-7 / 190,Junior,-,92.24,Central Pointe Christian,"Kissimmee, FL",Illinois,903 mi.,11,14K,8.7K,187,nan
Miles Kelly,2021 - present,CG / 6-6 / 175,Junior,-,92.20,Hargrave Military Academy (HS),"Chatham, VA",Georgia Tech,352 mi.,14,3K,672,172,nan
Isaiah Barnes,nan,SF / 6-6 / 180,nan,nan,92.17,Simeon,"Chicago, IL",Michigan,195 mi.,16,12.1K,2.5K,15.6K,nan
Chance Moore,nan,SG / 6-5 / 195,nan,nan,92.14,McEachern,"Powder Springs, GA",Arkansas,544 mi.,15,12.8K,2.9K,384,nan
Emanuel Sharp,2021 - present,SG / 6-4 / 200,Redshirt Sophomore,-,91.93,Bishop McLaughlin Catholic,"Tampa, FL",Houston,790 mi.,15,5.8K,1.3K,261,nan
Jaylen Blakes,2021 - present,PG / 6-2 / 195,Junior,-,91.62,Blair Academy,"Blairstown, NJ",Duke,404 mi.,17,13.4K,nan,nan,nan
Cameron Hildreth,2021 - present,CG / 6-4 / 195,Junior,-,91.59,England,"Worthing, ",Wake Forest,3956 mi.,5,8.7K,1.4K,2.1K,nan
Wooga Poplar,2021 - present,SG / 6-4 / 180,Junior,-,91.50,Math Civics And Sciences Cs,"Philadelphia, PA",Miami,1024 mi.,20,13.7K,692,nan,nan
Wilhelm Breidenbach,2023 - present,PF / 6-10 / 231,Junior,-,91.19,Mater Dei,"Santa Ana, CA",Nebraska,1256 mi.,5,5.7K,1.3K,nan,nan
Corey Floyd Jr.,2022 - present,CG / 6-4 / 190,Redshirt Sophomore,-,91.08,Roselle Catholic,"Roselle, NJ",Connecticut,131 mi.,15,9.9K,2K,nan,nan
Will Shaver,nan,C / 6-9 / 245,nan,nan,89.80,Oak Mountain,"Birmingham, AL",North Carolina,472 mi.,16,11.1K,2.7K,728,nan
Will Tschetter,2021 - present,PF / 6-8 / 225,Redshirt Sophomore,-,89.79,Stewartville Senior,"Stewartville, MN",Michigan,450 mi.,15,-,1.4K,nan,nan
Julian Roper,2023 - present,SG / 6-3 / 183,Junior,-,89.54,St. Mary's,"Franklin, MI",Northwestern,229 mi.,16,nan,nan,nan,nan
Matthew Mors,nan,PF / 6-7 / 220,nan,nan,89.53,nan,nan,Wisconsin,407 mi.,9,6.6K,3.5K,666,nan
John Christofilis,nan,SG / 6-4 / 170,nan,nan,89.17,O'Dea,"Seattle, WA",Creighton,1366 mi.,7,3.5K,906,109,nan
Markus Ilver,2021 - present,PF / 6-8 / 215,Junior,-,88.90,Western Reserve Academy,"Hudson, OH",Wisconsin,425 mi.,7,2.6K,898,36,nan
Brooks Barnhizer,2021 - present,SG / 6-6 / 200,Junior,-,88.57,Jefferson,"Lafayette, IN",Northwestern,121 mi.,9,nan,nan,nan,nan
